"Tarih","ToplamÝþlemHacmi"
"27-05-2013",2951418.22
"28-05-2013",4232907.34
"29-05-2013",3919585.28
"30-05-2013",3524885.1
"31-05-2013",4063957.79
"03-06-2013",4635794.33
"04-06-2013",4762621.27
"05-06-2013",4172829.91
"06-06-2013",5141159.37
"07-06-2013",4605409.77
"10-06-2013",3520955.62
"11-06-2013",4620308.71
"12-06-2013",3415825.77
"13-06-2013",3269523.08
"14-06-2013",4175057.94
"17-06-2013",3315436.67
"18-06-2013",2915161.27
"19-06-2013",2521613.92
"20-06-2013",4381116.96
"21-06-2013",3989343.32
"24-06-2013",3216889.44
"25-06-2013",3599269.92
"26-06-2013",3291505.16
"27-06-2013",3406488.5
"28-06-2013",4305815.43
"01-07-2013",2490008.33
"02-07-2013",2494904.06
"03-07-2013",3050776.56
"04-07-2013",2646057.47
"05-07-2013",3047094.5
"08-07-2013",2759788.3
"09-07-2013",3237724.47
"10-07-2013",3478839.84
"11-07-2013",3918237.12
"12-07-2013",3580073.04
"15-07-2013",3893001.64
"16-07-2013",3314349.24
"17-07-2013",4079701.53
"18-07-2013",4142412.81
"19-07-2013",2891013.39
"22-07-2013",2065196.02
"23-07-2013",3416818.22
"24-07-2013",2746411.42
"25-07-2013",3295424.99
"26-07-2013",3103941.53
"29-07-2013",2352391.32
"30-07-2013",2849479.11
"31-07-2013",3003795.41
"01-08-2013",2460529.55
"02-08-2013",2993331.51
"05-08-2013",2235348.91
"06-08-2013",1624653.44
"07-08-2013",716547.12
"12-08-2013",2457075.7
"13-08-2013",3437056.7
"14-08-2013",2542502.31
"15-08-2013",2704443.97
"16-08-2013",2216721.24
"19-08-2013",2326205.38
"20-08-2013",2656491.87
"21-08-2013",2719512.46
"22-08-2013",4224947.4
"23-08-2013",3117695.56
"26-08-2013",2326163.89
"27-08-2013",3491189.15
"28-08-2013",4044724.8
"29-08-2013",3631507.58
"02-09-2013",2290487.84
"03-09-2013",3040788.42
"04-09-2013",2561203.09
"05-09-2013",2426300.16
"06-09-2013",2981997.26
"09-09-2013",3051628.55
"10-09-2013",3963249.84
"11-09-2013",3842075.15
"12-09-2013",3331776.71
"13-09-2013",3289533.23
"16-09-2013",3775789.64
"17-09-2013",3359289.25
"18-09-2013",3084013.54
"19-09-2013",7410103.15
"20-09-2013",4157371.6
"23-09-2013",3837213.66
"24-09-2013",3461530.19
"25-09-2013",4015541.01
"26-09-2013",3155094.03
"27-09-2013",2776296.87
"30-09-2013",3347144.99
"01-10-2013",3528711.39
"02-10-2013",4345714.7
"03-10-2013",2999453.94
"04-10-2013",3882940.5
"07-10-2013",2417345.68
"08-10-2013",3145645.16
"09-10-2013",3253507.16
"10-10-2013",3040498.43
"11-10-2013",2169638.15
"14-10-2013",609056.22
"21-10-2013",3989125.81
"22-10-2013",4166336.99
"23-10-2013",3666091.28
"24-10-2013",3151905.01
"25-10-2013",3063943.78
"28-10-2013",1481796.26
"30-10-2013",3928960.05
"31-10-2013",3371093.58
"01-11-2013",3452573.48
"04-11-2013",2664675.18
"05-11-2013",2956463.85
"06-11-2013",2726631.04
"07-11-2013",3053741.19
"08-11-2013",3410981.5
"11-11-2013",3094122.96
"12-11-2013",6713340.15
"13-11-2013",4965009.42
"14-11-2013",3565800.69
"15-11-2013",3294786.13
"18-11-2013",2895103
"19-11-2013",3211209.97
"20-11-2013",3780909.38
"21-11-2013",3688150.51
"22-11-2013",3067731.66
"25-11-2013",3160882.1
"26-11-2013",3277425.89
"27-11-2013",2625696.83
"28-11-2013",1974931.79
"29-11-2013",2268272.1
"02-12-2013",2495326.82
"03-12-2013",3581804.22
"04-12-2013",3133558.57
"05-12-2013",2847329.01
"06-12-2013",3276413.82
"09-12-2013",2564261.59
"10-12-2013",2521343.82
"11-12-2013",2806692.39
"12-12-2013",2947514.99
"13-12-2013",2299666.93
"16-12-2013",2296326.51
"17-12-2013",4626505.45
"18-12-2013",4584082.65
"19-12-2013",4657794.88
"20-12-2013",3964937.4
"23-12-2013",2874797.08
"24-12-2013",2542148.07
"25-12-2013",2900094.16
"26-12-2013",2673419.34
"27-12-2013",3261667.26
"30-12-2013",3011562.4
"31-12-2013",2782550.38
"02-01-2014",2543319.82
"03-01-2014",2675310.94
"06-01-2014",3512515.87
"07-01-2014",4300294.14
"08-01-2014",3687722.5
"09-01-2014",2021845.07
"10-01-2014",3379311.01
"13-01-2014",3108669.16
"14-01-2014",3080316.15
"15-01-2014",3951701.27
"16-01-2014",3043835.2
"17-01-2014",2992982.18
"20-01-2014",2495794.83
"21-01-2014",3366130.97
"22-01-2014",3083566.06
"23-01-2014",4263945.34
"24-01-2014",4448044.71
"27-01-2014",3997049.63
"28-01-2014",3389855.95
"29-01-2014",6278131.14
"30-01-2014",3919414.84
"31-01-2014",3320423.38
"03-02-2014",2631826.67
"04-02-2014",3751346.77
"05-02-2014",3651669.33
"06-02-2014",3998844.04
"07-02-2014",3757649.93
"10-02-2014",2829339.23
"11-02-2014",3260571.09
"12-02-2014",2716955.05
"13-02-2014",2538933.63
"14-02-2014",2967027.9
"17-02-2014",2418337.41
"18-02-2014",2953748.77
"19-02-2014",2808430.69
"20-02-2014",2927740.08
"21-02-2014",2331736.93
"24-02-2014",1942589.05
"25-02-2014",2621524.04
"26-02-2014",2731785.69
"27-02-2014",2210061.35657
"28-02-2014",2549464.21831
"03-03-2014",1685909.72277
"04-03-2014",2326829.72272
"05-03-2014",2451056.73615
"06-03-2014",2898166.741999
"07-03-2014",2476264.97589
"10-03-2014",2360466.95177
"11-03-2014",2296420.41426
"12-03-2014",3048150.44265
"13-03-2014",2638326.75003
"14-03-2014",2352210.37059
"17-03-2014",1896818.04002
"18-03-2014",3396588.339
"19-03-2014",3210382.66505
"20-03-2014",3070252.87905
"21-03-2014",2454445.33505
"24-03-2014",1968927.43632
"25-03-2014",2314891.85547
"26-03-2014",4310850.31988
"27-03-2014",4474888.64348
"28-03-2014",4252218.00388
"31-03-2014",4841579.91438
"01-04-2014",4222142.27736
"02-04-2014",4467731.59986
"03-04-2014",4196111.65687
"04-04-2014",4080333.5115
"07-04-2014",3264308.63183
"08-04-2014",3879443.82227
"09-04-2014",3862322.80208
"10-04-2014",3639272.99329
"11-04-2014",3109442.76753
