"Tarih","Endeks","Kapanýþ"
"2020-04-20","Sýnai",124330.9
"2020-04-21","Sýnai",123212.66
"2020-04-22","Sýnai",124415.64
"2020-04-24","Sýnai",125073.99
"2020-04-27","Sýnai",128043.97
"2020-04-28","Sýnai",127853.19
"2020-04-29","Sýnai",130429.78
"2020-04-30","Sýnai",129819.92
"2020-05-04","Sýnai",127118.71
"2020-05-05","Sýnai",127296.79
"2020-05-06","Sýnai",128227.74
"2020-05-07","Sýnai",128535.37
"2019-05-07","Teknoloji",85567
"2019-05-08","Teknoloji",82669.19
"2019-05-09","Teknoloji",79861.66
"2019-05-10","Teknoloji",78566.73
"2019-05-13","Teknoloji",75219.85
"2019-05-14","Teknoloji",76962.34
"2019-05-15","Teknoloji",75403.83
